Model,Model Key,N,Accuracy (%),Macro F1,95% CI Lower (%),95% CI Upper (%),Above Chance (pp),Headroom Skill (%),Acc exceptional (%),Acc strong (%),Acc fair (%),Acc limited (%),Pred exceptional (n),Pred strong (n),Pred fair (n),Pred limited (n)
Base (GPT-4.1),gpt-4.1,120,32.5,0.268,24.2,40.8,7.5,10.0,20.0,60.0,50.0,0.0,14,49,57,0
Base (Qwen3-4B),qwen3-4b,120,26.7,0.195,19.2,34.2,1.7,2.2,56.7,46.7,3.3,0.0,47,71,2,0
Base (GPT-4.1-nano),gpt-4.1-nano,120,25.0,0.186,17.5,33.3,0.0,0.0,30.0,63.3,6.7,0.0,30,85,5,0
Base (Qwen3-30B),qwen3-30b-a3b,120,22.5,0.112,15.0,30.0,-2.5,-3.3,86.7,3.3,0.0,0.0,97,23,0,0
