field,best_single_model,best_single_acc,best_single_correct,best_single_n,best_pair_models,best_pair_acc,best_pair_correct,best_pair_n,three_model_acc,three_model_correct,three_model_n,pair_lift_pp,triple_lift_pp,all_singles,all_pairs
Psychology,qwen3-30b-a3b-sft,85.5,171,200,qwen3-30b-a3b-sft+gpt-4.1-nano-sft,85.5,171,200,85.5,171,200,0.0,0.0,gpt-4.1-nano-sft=81.5%; qwen3-30b-a3b-sft=85.5%; qwen3-4b-sft=76.0%,qwen3-30b-a3b-sft+qwen3-4b-sft=85.0%; qwen3-30b-a3b-sft+gpt-4.1-nano-sft=85.5%; qwen3-4b-sft+gpt-4.1-nano-sft=81.0%
Sociology,qwen3-30b-a3b-sft,65.5,131,200,qwen3-30b-a3b-sft+gpt-4.1-nano-sft,63.5,127,200,58.5,117,200,-2.0,-7.0,gpt-4.1-nano-sft=54.0%; qwen3-30b-a3b-sft=65.5%; qwen3-4b-sft=51.0%,qwen3-30b-a3b-sft+qwen3-4b-sft=59.0%; qwen3-30b-a3b-sft+gpt-4.1-nano-sft=63.5%; qwen3-4b-sft+gpt-4.1-nano-sft=54.0%
Communication,qwen3-30b-a3b-sft,67.5,135,200,qwen3-30b-a3b-sft+qwen3-4b-sft,69.0,138,200,66.0,132,200,1.5,-1.5,gpt-4.1-nano-sft=60.5%; qwen3-30b-a3b-sft=67.5%; qwen3-4b-sft=61.0%,qwen3-30b-a3b-sft+qwen3-4b-sft=69.0%; qwen3-30b-a3b-sft+gpt-4.1-nano-sft=65.5%; qwen3-4b-sft+gpt-4.1-nano-sft=61.0%
Pol. Science,qwen3-30b-a3b-sft,58.5,117,200,qwen3-30b-a3b-sft+qwen3-4b-sft,57.0,114,200,57.0,114,200,-1.5,-1.5,gpt-4.1-nano-sft=54.0%; qwen3-30b-a3b-sft=58.5%; qwen3-4b-sft=50.5%,qwen3-30b-a3b-sft+qwen3-4b-sft=57.0%; qwen3-30b-a3b-sft+gpt-4.1-nano-sft=57.0%; qwen3-4b-sft+gpt-4.1-nano-sft=52.0%
Bus. & Finance,gpt-4.1-nano-sft,55.5,111,200,qwen3-4b-sft+gpt-4.1-nano-sft,54.5,109,200,55.0,110,200,-1.0,-0.5,gpt-4.1-nano-sft=55.5%; qwen3-30b-a3b-sft=53.5%; qwen3-4b-sft=53.5%,qwen3-30b-a3b-sft+qwen3-4b-sft=53.0%; qwen3-30b-a3b-sft+gpt-4.1-nano-sft=54.0%; qwen3-4b-sft+gpt-4.1-nano-sft=54.5%
Public Admin.,qwen3-30b-a3b-sft,55.0,110,200,qwen3-4b-sft+gpt-4.1-nano-sft,54.5,109,200,54.0,108,200,-0.5,-1.0,gpt-4.1-nano-sft=53.5%; qwen3-30b-a3b-sft=55.0%; qwen3-4b-sft=51.0%,qwen3-30b-a3b-sft+qwen3-4b-sft=52.5%; qwen3-30b-a3b-sft+gpt-4.1-nano-sft=53.5%; qwen3-4b-sft+gpt-4.1-nano-sft=54.5%
Management,qwen3-4b-sft,59.17,71,120,gpt-4.1-nano-sft+qwen3-30b-a3b-sft,60.83,73,120,60.0,72,120,1.67,0.83,gpt-4.1-nano-sft=57.5%; qwen3-30b-a3b-sft=58.3%; qwen3-4b-sft=59.2%,gpt-4.1-nano-sft+qwen3-4b-sft=60.0%; gpt-4.1-nano-sft+qwen3-30b-a3b-sft=60.8%; qwen3-4b-sft+qwen3-30b-a3b-sft=59.2%
Economics,qwen3-30b-a3b-sft,69.5,139,200,qwen3-30b-a3b-sft+gpt-4.1-nano-sft,73.0,146,200,70.0,140,200,3.5,0.5,gpt-4.1-nano-sft=68.5%; qwen3-30b-a3b-sft=69.5%; qwen3-4b-sft=64.0%,qwen3-30b-a3b-sft+qwen3-4b-sft=68.5%; qwen3-30b-a3b-sft+gpt-4.1-nano-sft=73.0%; qwen3-4b-sft+gpt-4.1-nano-sft=71.5%
