evaluator,n_articles,n_ties_excluded,overall_accuracy,individual_mean_accuracy,individual_std_accuracy,matched_n_mean_accuracy,matched_n_ci_lower,matched_n_ci_upper,matched_n_mean_effective_n,tier1_precision,tier1_recall,tier4_precision,tier4_recall,top12_precision,bottom34_precision,middle_tier_bias,mean_signed_error
Expert Individual (Pooled),384,0,0.3619791666666667,0.3619791666666667,0.20505510308553268,,,,,0.38461538461538464,0.20833333333333334,0.4745762711864407,0.2916666666666667,0.6179775280898876,0.6019417475728155,1.421875,-0.0546875
Expert Majority (Unfiltered),89,31,0.4157303370786517,,,,,,,0.625,0.22727272727272727,0.6,0.3,0.6511627906976745,0.6521739130434783,1.5106382978723405,-0.056179775280898875
Student Individual (Pooled),2530,0,0.31778656126482213,0.3173676419366075,0.14195897733999704,,,,,0.3646055437100213,0.27056962025316456,0.3736951983298539,0.28278041074249605,0.575353871773522,0.5680963130173062,1.2505928853754942,-0.028853754940711462
Student Majority (Filtered),103,17,0.4077669902912621,,,,,,,0.6666666666666666,0.3333333333333333,0.7,0.25925925925925924,0.6363636363636364,0.6271186440677966,1.5576923076923077,-0.009708737864077669
Student Matched-N Consensus (Expert Sized),120,0,0.425,,,0.36096308008251715,0.2682926829268293,0.4567901234567901,83.3746,0.6875,0.36666666666666664,0.6,0.3,0.6363636363636364,0.6153846153846154,1.4833333333333334,-0.03333333333333333
