k,mean_accuracy,std,ci_lower,ci_upper,n_trials
2,0.37454198512640197,0.07904413170048252,0.2222222222222222,0.53125,5000
3,0.3607320585240226,0.048547340181584894,0.2682926829268293,0.4567901234567901,5000
4,0.35664887961231984,0.04503540620866593,0.26881720430107525,0.4479166666666667,5000
5,0.3723709151189141,0.04685739805894112,0.279989247311828,0.4634364111498255,5000
8,0.38434137482748193,0.04011065419176586,0.3068181818181818,0.46511627906976744,5000
10,0.3935565802238043,0.03767049911686844,0.3191489361702128,0.46808510638297873,5000
15,0.3983337279030473,0.029978206082400285,0.33980124564938635,0.4583333333333333,5000
20,0.3920769435833769,0.022333470257740552,0.34994565217391305,0.4358974358974359,5000
