Model,Model Key,N Valid,Accuracy,Macro F1,Acc (exceptional),Acc (strong),Acc (fair),Acc (limited),Pred count (exceptional),Pred count (strong),Pred count (fair),Pred count (limited)
GPT-5.2 (Baseline),gpt-5.2,120,0.2917,0.1758,0.0,0.9333,0.2333,0.0,0,84,36,0
SFT (GPT-4.1-ob),gpt-4.1-ob,120,0.55,0.5577,0.6333,0.4667,0.5,0.6,43,23,33,21
SFT (GPT-4.1-nano-ob),gpt-4.1-nano-ob,120,0.575,0.573,0.7,0.4333,0.6333,0.5333,36,24,38,22
SFT (Qwen3-30B-ob),qwen3-30b-ob,120,0.5833,0.5836,0.7333,0.5,0.5667,0.5333,41,27,32,20
SFT (Qwen3-4B-ob),qwen3-4b-ob,120,0.5917,0.5908,0.8,0.5667,0.5333,0.4667,39,30,35,16
2-Model Ensemble,best_2_model_combo,120,0.6083,0.6069,0.7667,0.5333,0.6,0.5333,38,25,35,22
