evaluator,n,accuracy,ece,brier_score,brier_reliability,brier_resolution,brier_uncertainty,ece_exceptional,ece_strong,ece_fair,ece_limited
SFT 2-Model Ensemble,120,0.5583,0.1359,0.6258,0.0225,0.0219,0.75,0.1709,0.1898,0.3212,0.1473
Expert voting,120,0.3833,0.2306,0.811,0.0733,0.0152,0.75,0.4944,0.2472,0.275,0.3667
Student voting,120,0.4083,0.0691,0.69,0.009,0.011,0.75,0.1795,0.0877,0.1921,0.2131
GPT-5.2 (chat),120,0.325,0.6572,1.3126,0.4327,0.0056,0.75,0.9653,0.2854,0.3864,0.9916
Kimi K2 Chat,120,0.3583,0.3656,0.9272,0.1589,0.0058,0.75,0.6273,0.1445,0.5557,0.3615
DeepSeek Chat,120,0.275,0.6935,1.3867,0.4833,0.0041,0.75,0.9355,0.0055,0.8882,0.9557
