k,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,fleiss_kappa_mean,fleiss_kappa_ci_lower,fleiss_kappa_ci_upper,tie_rate_mean,tie_rate_ci_lower,tie_rate_ci_upper,clear_vote_n_mean,clear_vote_n_ci_lower,clear_vote_n_ci_upper,eligible_n_mean,eligible_n_ci_lower,eligible_n_ci_upper,n_bootstrap
2,0.37546828659339176,0.21428571428571427,0.5483870967741935,0.026191886096517188,-0.08418419047431497,0.13950180641699134,0.7105083333333332,0.625,0.7916666666666666,34.739,25.0,45.0,120.0,120.0,120.0,2000
3,0.3579333543761459,0.258813615333774,0.45785613040396866,0.028806067948394756,-0.035855373035074134,0.09522576600897686,0.31538333333333335,0.23333333333333334,0.4,82.154,72.0,92.0,120.0,120.0,120.0,2000
4,0.3553758404551864,0.26370535714285714,0.45652173913043476,0.030067519695036533,-0.01670167957123819,0.07816683800775592,0.22364583333333335,0.15,0.3,93.1625,84.0,102.0,120.0,120.0,120.0,2000
5,0.37184609397073576,0.26827141236528645,0.48148148148148145,0.029778031376182148,-0.006419767593962631,0.0667245931590282,0.31982499999999997,0.23333333333333334,0.4083333333333333,81.621,71.0,92.0,120.0,120.0,120.0,2000
8,0.38590170930747086,0.2888831615120275,0.485229104305779,0.030504179586594262,0.006314996603601818,0.05610542264221703,0.22106666666666666,0.14979166666666668,0.3,93.472,84.0,102.02499999999986,120.0,120.0,120.0,2000
10,0.39330145750329804,0.2999742268041237,0.4888888888888889,0.030395124440782417,0.010663155601000446,0.05128420609425582,0.2054625,0.13333333333333333,0.2833333333333333,95.3445,86.0,104.0,120.0,120.0,120.0,2000
15,0.3951995129225385,0.30474089635854346,0.49485046442788605,0.03032758066162081,0.01580332652159726,0.04612262420622756,0.16104583333333333,0.1,0.225,100.6745,93.0,108.0,120.0,120.0,120.0,2000
20,0.3938345734624985,0.2857142857142857,0.5072517845554835,0.03297828413214454,0.018366396394329455,0.04907772670787507,0.13446463846145537,0.06818181818181818,0.21055727554179549,75.3695,65.0,86.0,87.087,77.0,96.0,2000
