k,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,resolved_accuracy_mean,resolved_accuracy_ci_lower,resolved_accuracy_ci_upper,fleiss_kappa_mean,fleiss_kappa_ci_lower,fleiss_kappa_ci_upper,tie_rate_mean,tie_rate_ci_lower,tie_rate_ci_upper,clear_vote_n_mean,clear_vote_n_ci_lower,clear_vote_n_ci_upper,eligible_n_mean,eligible_n_ci_lower,eligible_n_ci_upper,n_bootstrap
1,0.36588166666666666,0.2833333333333333,0.45,0.36588166666666666,0.2833333333333333,0.45,,,,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,5000
2,0.4650074145238264,0.3076923076923077,0.625,0.15279333333333334,0.09166666666666666,0.21666666666666667,0.04267714234423361,-0.07316691545860231,0.16012998131412073,0.671425,0.5833333333333334,0.7583333333333333,39.429,29.0,50.0,120.0,120.0,120.0,5000
3,0.3952775377825052,0.2941016624040921,0.5,0.2964707886746968,0.21367521367521367,0.3793103448275862,0.04087107966372752,-0.016556326827163168,0.10241836860151818,0.2500175802844078,0.17647058823529413,0.3277310924369748,88.5234,79.0,98.0,118.0342,115.0,120.0,5000
4,0.5018721010148056,0.26666666666666666,0.7333333333333333,0.34757963713402296,0.16666666666666666,0.5384615384615384,-0.0147903502876419,-0.09623750129593567,0.07248965693454089,0.30820184265066236,0.13043478260869565,0.5,17.9534,11.0,26.0,25.9454,17.0,35.0,5000
