field,tier_label,journal_count,journals
Management,Exceptional,6,Academy of Management Journal; Academy of Management Review; Administrative Science Quarterly; Journal of Applied Psychology; Organization Science; Strategic Management Journal
Management,Strong,3,Journal of Management; Organizational Behavior and Human Decision Processes; Personnel Psychology
Management,Fair,5,Human Resource Management; Human Relations; Journal of Management Studies; Journal of Organizational Behavior; Leadership Quarterly
Management,Limited,5,Group & Organization Management; Journal of Business and Psychology; Journal of Managerial Psychology; Journal of Organizational Behavior Management; Journal of Personnel Psychology
