field,tier_label,journal_count,journals
Economics,Exceptional,5,American Economic Review; Econometrica; Journal of Political Economy; Quarterly Journal of Economics; Review of Economic Studies
Economics,Strong,18,American Economic Journal: Applied Economics; American Economic Journal: Economic Policy; American Economic Journal: Macroeconomics; American Economic Journal: Microeconomics; Econometric Theory; Economic Journal; Games and Economic Behavior; International Economic Review; Journal of Development Economics; Journal of Econometrics; Journal of Economic Theory; Journal of International Economics; Journal of Labor Economics; Journal of Public Economics; RAND Journal of Economics; Review of Economic Dynamics; Theoretical Economics; Journal of the European Economic Association
Economics,Fair,7,Brookings Papers on Economic Activity; European Journal of Health Economics; International Journal of Emerging Markets; Journal of Economic History; Journal of Population Economics; New Political Economy; Quarterly Review of Economics and Finance
Economics,Limited,8,Agricultural Economics; Amfiteatru Economic; ASTIN Bulletin; Journal of Cultural Economics; Journal of the Japanese and International Economies; Local Economy; Post-Soviet Affairs; Quantitative Economics
